complaint_id,complaint_text,category,priority,department,location,date_submitted,status
667,Vaccination not available in local clinic,Health,High,Health,Patna,2025-05-22,Resolved
668,Lack of books in school library,Education,High,Education,Patna,2024-01-16,Pending
669,Road construction incomplete for months,Roads,High,Roads,Mumbai,2025-06-04,In Progress
670,Road full of potholes causing accidents,Roads,Low,Roads,Bangalore,2024-08-03,Resolved
671,Dirty public toilets in market,Sanitation,Medium,Sanitation,Mumbai,2025-08-13,In Progress
672,Huge pothole near school entrance,Roads,High,Roads,Hyderabad,2024-06-15,In Progress
673,Scholarship payment delayed,Education,Medium,Education,Chennai,2024-01-18,Pending
674,Train ticket booking issue,Transport,Medium,Transport,Bangalore,2025-07-03,In Progress
675,Harassment reported in public place,Police/Safety,Low,Police/Safety,Chennai,2024-04-24,Pending
676,Fake loan app scam reported,IT Fraud,Low,IT Fraud,Patna,2024-05-11,In Progress
677,Water logging due to bad road condition,Roads,High,Roads,Delhi,2024-04-17,Resolved
678,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Patna,2025-01-19,Resolved
679,Road full of potholes causing accidents,Roads,Low,Roads,Patna,2024-07-27,In Progress
680,Fake job website asking money,IT Fraud,Low,IT Fraud,Chennai,2025-02-07,Resolved
681,Poor cleanliness in buses,Transport,Medium,Transport,Ranchi,2024-06-07,Pending
682,Frequent power cuts in our area,Electricity,High,Electricity,Ranchi,2025-05-30,Resolved
683,Frequent power cuts in our area,Electricity,Low,Electricity,Chennai,2024-05-10,Resolved
684,Corruption complaint in local office,Government Services,Low,Government Services,Mumbai,2024-04-21,Pending
685,Dirty public toilets in market,Sanitation,Medium,Sanitation,Delhi,2024-04-13,In Progress
686,Train ticket booking issue,Transport,Low,Transport,Chennai,2024-11-10,Resolved
687,Frequent power cuts in our area,Electricity,Medium,Electricity,Bangalore,2024-10-14,Resolved
688,Theft reported in neighborhood,Police/Safety,Medium,Police/Safety,Hyderabad,2025-04-08,Resolved
689,Frequent power cuts in our area,Electricity,High,Electricity,Chennai,2024-09-12,Resolved
690,Frequent power cuts in our area,Electricity,Low,Electricity,Patna,2025-05-02,Pending
691,Vaccination not available in local clinic,Health,Low,Health,Ranchi,2025-08-11,In Progress
692,Huge pothole near school entrance,Roads,Low,Roads,Kolkata,2024-04-18,Pending
693,No water supply for last two days,Water,High,Water,Delhi,2024-11-22,Resolved
694,Ration card application pending,Government Services,High,Government Services,Patna,2025-05-15,Pending
695,Water logging due to bad road condition,Roads,Medium,Roads,Delhi,2024-07-06,Pending
696,Poor cleanliness in buses,Transport,Medium,Transport,Kolkata,2024-02-16,Resolved
697,Harassment reported in public place,Police/Safety,High,Police/Safety,Ranchi,2025-06-23,Resolved
698,No doctor available in government hospital,Health,Medium,Health,Delhi,2024-11-07,Resolved
699,Public hand pump not working,Water,High,Water,Delhi,2024-05-11,Resolved
700,Ambulance service delayed during emergency,Health,Medium,Health,Mumbai,2025-04-05,Pending
701,No drinking water in school campus,Education,High,Education,Hyderabad,2025-08-10,In Progress
702,Road construction incomplete for months,Roads,Medium,Roads,Kolkata,2024-05-21,In Progress
703,Low water pressure in the area,Water,Low,Water,Hyderabad,2024-08-27,Resolved
704,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Ranchi,2024-04-09,Resolved
705,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Bangalore,2025-07-18,Pending
706,Shortage of medicines in health center,Health,Low,Health,Hyderabad,2024-01-23,In Progress
707,Water pipeline leakage near house,Water,Low,Water,Patna,2024-02-07,Pending
708,Delay in issuing birth certificate,Government Services,High,Government Services,Mumbai,2024-10-19,Resolved
709,Garbage not collected for several days,Sanitation,Medium,Sanitation,Mumbai,2024-11-10,Pending
710,Hospital hygiene very poor,Health,Medium,Health,Delhi,2025-04-12,In Progress
711,Water pipeline leakage near house,Water,Low,Water,Bangalore,2024-01-26,Pending
712,Dirty public toilets in market,Sanitation,Low,Sanitation,Hyderabad,2024-01-15,Resolved
713,Shortage of medicines in health center,Health,Low,Health,Mumbai,2025-06-21,Resolved
714,No drinking water in school campus,Education,Medium,Education,Chennai,2024-10-12,Resolved
715,Delay in issuing birth certificate,Government Services,Medium,Government Services,Bangalore,2025-08-06,In Progress
716,Water pipeline leakage near house,Water,Medium,Water,Chennai,2024-01-15,Pending
717,No drinking water in school campus,Education,Low,Education,Ranchi,2025-01-24,In Progress
718,Fake loan app scam reported,IT Fraud,High,IT Fraud,Chennai,2025-05-21,In Progress
719,Ambulance service delayed during emergency,Health,Medium,Health,Hyderabad,2024-07-13,Resolved
720,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Bangalore,2024-07-03,In Progress
721,Suspicious person roaming in colony,Police/Safety,Medium,Police/Safety,Delhi,2024-05-17,Resolved
722,Poor cleanliness in buses,Transport,Low,Transport,Ranchi,2024-04-28,Pending
723,Hospital hygiene very poor,Health,High,Health,Ranchi,2024-05-02,In Progress
724,Poor infrastructure in government school,Education,Medium,Education,Patna,2025-05-20,Pending
725,Vaccination not available in local clinic,Health,Low,Health,Delhi,2024-07-21,Pending
726,Hospital hygiene very poor,Health,Medium,Health,Kolkata,2024-07-22,In Progress
727,Lack of books in school library,Education,High,Education,Chennai,2024-01-05,In Progress
728,Transformer failure in locality,Electricity,Medium,Electricity,Ranchi,2024-06-10,In Progress
729,Teacher not attending classes regularly,Education,Low,Education,Kolkata,2025-01-18,Resolved
730,Poor infrastructure in government school,Education,Low,Education,Delhi,2025-02-21,Resolved
731,Poor cleanliness in buses,Transport,Medium,Transport,Bangalore,2024-10-12,In Progress
732,Dirty public toilets in market,Sanitation,High,Sanitation,Patna,2024-04-11,Pending
733,Broken road near market area,Roads,Medium,Roads,Delhi,2024-03-24,Resolved
734,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Mumbai,2024-06-09,Pending
735,Overflowing dustbins in the area,Sanitation,High,Sanitation,Delhi,2024-09-29,Resolved
736,Electric pole wire hanging dangerously,Electricity,High,Electricity,Bangalore,2024-04-24,Resolved
737,Overcrowding in buses,Transport,Medium,Transport,Delhi,2024-01-17,Pending
738,Bus stop shelter damaged,Transport,Low,Transport,Kolkata,2025-03-08,Pending
739,Poor infrastructure in government school,Education,Medium,Education,Delhi,2025-06-25,Resolved
740,Frequent power cuts in our area,Electricity,Medium,Electricity,Mumbai,2024-04-25,In Progress
741,Teacher not attending classes regularly,Education,Low,Education,Delhi,2024-09-26,Resolved
742,Illegal activities happening nearby,Police/Safety,Low,Police/Safety,Hyderabad,2025-05-31,Resolved
743,Dirty public toilets in market,Sanitation,Medium,Sanitation,Patna,2025-08-19,Pending
744,Garbage not collected for several days,Sanitation,Medium,Sanitation,Kolkata,2024-01-15,Pending
745,Public hand pump not working,Water,Medium,Water,Mumbai,2025-03-31,Resolved
746,Water pipeline leakage near house,Water,High,Water,Mumbai,2024-01-21,Pending
747,Hospital hygiene very poor,Health,High,Health,Bangalore,2024-12-08,Pending
748,Train ticket booking issue,Transport,High,Transport,Hyderabad,2024-12-22,In Progress
749,Bus service not running on schedule,Transport,Medium,Transport,Patna,2024-03-05,In Progress
750,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Hyderabad,2024-08-16,Resolved
751,Delay in issuing birth certificate,Government Services,Medium,Government Services,Chennai,2025-05-05,Resolved
752,Bus service not running on schedule,Transport,Medium,Transport,Bangalore,2024-12-01,Resolved
753,Theft reported in neighborhood,Police/Safety,Low,Police/Safety,Patna,2024-08-14,Pending
754,Road full of potholes causing accidents,Roads,High,Roads,Bangalore,2025-04-11,Resolved
755,Illegal activities happening nearby,Police/Safety,Low,Police/Safety,Bangalore,2025-02-21,Resolved
756,Garbage not collected for several days,Sanitation,High,Sanitation,Delhi,2024-12-24,Resolved
757,Bank OTP fraud attempt,IT Fraud,High,IT Fraud,Hyderabad,2024-09-14,In Progress
758,Shortage of medicines in health center,Health,Low,Health,Chennai,2024-04-13,In Progress
759,Pension not credited this month,Government Services,High,Government Services,Mumbai,2024-02-03,In Progress
760,Street lights not working,Electricity,High,Electricity,Mumbai,2025-03-12,Pending
761,Bus service not running on schedule,Transport,High,Transport,Chennai,2024-04-19,In Progress
762,Road full of potholes causing accidents,Roads,Low,Roads,Mumbai,2024-05-07,Pending
763,UPI payment fraud reported,IT Fraud,High,IT Fraud,Ranchi,2024-09-27,Resolved
764,Dirty water coming from taps,Water,Medium,Water,Hyderabad,2024-07-06,Pending
765,Suspicious person roaming in colony,Police/Safety,Medium,Police/Safety,Kolkata,2024-04-08,Resolved
766,Huge pothole near school entrance,Roads,High,Roads,Delhi,2024-09-28,Pending
767,Shortage of medicines in health center,Health,Low,Health,Mumbai,2024-12-22,In Progress
768,Broken road near market area,Roads,Medium,Roads,Mumbai,2024-10-27,Resolved
769,Water logging due to bad road condition,Roads,Medium,Roads,Kolkata,2025-05-30,Pending
770,Fake job website asking money,IT Fraud,Medium,IT Fraud,Kolkata,2025-01-15,In Progress
771,Dirty water coming from taps,Water,High,Water,Chennai,2024-07-19,Pending
772,Huge pothole near school entrance,Roads,Low,Roads,Hyderabad,2024-05-04,In Progress
773,Aadhaar update not processed,Government Services,Low,Government Services,Ranchi,2024-12-13,In Progress
774,Dirty public toilets in market,Sanitation,Low,Sanitation,Kolkata,2025-03-24,In Progress
775,Road full of potholes causing accidents,Roads,Low,Roads,Mumbai,2024-10-03,Resolved
776,No water supply for last two days,Water,Medium,Water,Hyderabad,2024-01-28,In Progress
777,Dirty public toilets in market,Sanitation,Low,Sanitation,Bangalore,2024-10-13,Pending
778,Broken road near market area,Roads,Medium,Roads,Patna,2024-12-09,Resolved
779,Dirty water coming from taps,Water,High,Water,Ranchi,2025-08-18,In Progress
780,Vaccination not available in local clinic,Health,Low,Health,Bangalore,2024-04-16,Resolved
781,Vaccination not available in local clinic,Health,Medium,Health,Kolkata,2025-01-23,In Progress
782,Huge pothole near school entrance,Roads,High,Roads,Ranchi,2024-11-20,In Progress
783,No water supply for last two days,Water,Medium,Water,Mumbai,2025-02-06,Pending
784,Road full of potholes causing accidents,Roads,Low,Roads,Ranchi,2024-07-20,Resolved
785,Water logging due to bad road condition,Roads,Medium,Roads,Chennai,2025-03-28,In Progress
786,Train ticket booking issue,Transport,Medium,Transport,Bangalore,2024-07-29,Pending
787,Voltage fluctuations damaging appliances,Electricity,High,Electricity,Patna,2024-04-27,Pending
788,Ambulance service delayed during emergency,Health,Low,Health,Chennai,2024-04-22,Pending
789,Poor cleanliness in buses,Transport,Low,Transport,Ranchi,2025-06-07,Pending
790,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Delhi,2025-08-08,Resolved
791,Shortage of medicines in health center,Health,High,Health,Delhi,2024-08-28,Resolved
792,Huge pothole near school entrance,Roads,Medium,Roads,Patna,2025-05-21,Pending
793,Suspicious person roaming in colony,Police/Safety,Low,Police/Safety,Chennai,2024-11-02,Resolved
794,Water pipeline leakage near house,Water,Medium,Water,Mumbai,2024-02-29,Resolved
795,Lack of books in school library,Education,Medium,Education,Patna,2025-08-02,Resolved
796,No doctor available in government hospital,Health,High,Health,Ranchi,2024-05-22,Pending
797,Scholarship payment delayed,Education,Medium,Education,Patna,2024-08-24,Pending
798,Fake job website asking money,IT Fraud,High,IT Fraud,Ranchi,2025-06-06,Pending
799,Voltage fluctuations damaging appliances,Electricity,Low,Electricity,Hyderabad,2025-07-17,Resolved
800,Lack of books in school library,Education,Low,Education,Chennai,2024-02-19,Pending
801,Suspicious person roaming in colony,Police/Safety,Low,Police/Safety,Kolkata,2025-03-01,In Progress
802,Harassment reported in public place,Police/Safety,Low,Police/Safety,Delhi,2024-06-15,Resolved
803,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Delhi,2025-06-06,Resolved
804,Delay in issuing birth certificate,Government Services,Medium,Government Services,Patna,2024-07-05,Resolved
805,No doctor available in government hospital,Health,High,Health,Delhi,2025-01-18,Pending
806,Huge pothole near school entrance,Roads,Low,Roads,Hyderabad,2024-03-11,Pending
807,No drinking water in school campus,Education,Low,Education,Chennai,2024-04-14,In Progress
808,Overflowing dustbins in the area,Sanitation,Medium,Sanitation,Patna,2024-09-20,Resolved
809,Garbage not collected for several days,Sanitation,Low,Sanitation,Delhi,2025-01-06,Resolved
810,Drain blockage causing foul smell,Sanitation,Medium,Sanitation,Hyderabad,2025-05-26,In Progress
811,Noise disturbance at night,Police/Safety,Low,Police/Safety,Bangalore,2024-10-25,Pending
812,UPI payment fraud reported,IT Fraud,Medium,IT Fraud,Mumbai,2024-04-03,In Progress
813,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Patna,2025-01-05,Pending
814,Theft reported in neighborhood,Police/Safety,Low,Police/Safety,Ranchi,2025-03-21,In Progress
815,Open garbage dumping ground issue,Sanitation,Low,Sanitation,Mumbai,2024-12-28,Pending
816,Voltage fluctuations damaging appliances,Electricity,Medium,Electricity,Hyderabad,2025-03-25,Resolved
817,Shortage of medicines in health center,Health,Medium,Health,Mumbai,2024-05-30,Resolved
818,Water pipeline leakage near house,Water,High,Water,Kolkata,2024-01-10,In Progress
819,Huge pothole near school entrance,Roads,Low,Roads,Delhi,2024-06-27,Resolved
820,Open garbage dumping ground issue,Sanitation,High,Sanitation,Mumbai,2024-05-31,Resolved
821,Poor infrastructure in government school,Education,Medium,Education,Patna,2025-03-28,In Progress
822,Delay in issuing birth certificate,Government Services,High,Government Services,Hyderabad,2024-02-03,Pending
823,Hospital hygiene very poor,Health,Medium,Health,Mumbai,2024-03-14,Pending
824,Shortage of medicines in health center,Health,High,Health,Kolkata,2025-04-05,In Progress
825,Ration card application pending,Government Services,Low,Government Services,Kolkata,2024-12-08,In Progress
826,Water logging due to bad road condition,Roads,Medium,Roads,Kolkata,2024-04-13,In Progress
827,Road full of potholes causing accidents,Roads,High,Roads,Patna,2025-03-05,Pending
828,Garbage not collected for several days,Sanitation,Medium,Sanitation,Chennai,2024-04-06,In Progress
829,Noise disturbance at night,Police/Safety,Low,Police/Safety,Ranchi,2025-08-20,Resolved
830,Bank OTP fraud attempt,IT Fraud,Medium,IT Fraud,Mumbai,2024-01-19,Resolved
831,Social media account hacked,IT Fraud,Medium,IT Fraud,Delhi,2024-12-03,Resolved
832,Poor infrastructure in government school,Education,Low,Education,Mumbai,2024-11-07,In Progress
833,Garbage not collected for several days,Sanitation,High,Sanitation,Bangalore,2025-02-17,Pending
834,Low water pressure in the area,Water,Medium,Water,Patna,2024-01-09,In Progress
835,Poor infrastructure in government school,Education,Medium,Education,Kolkata,2025-07-03,Resolved
836,Water logging due to bad road condition,Roads,Medium,Roads,Delhi,2024-05-23,Resolved
837,Ambulance service delayed during emergency,Health,Medium,Health,Delhi,2025-06-05,Resolved
838,Garbage not collected for several days,Sanitation,Low,Sanitation,Patna,2024-04-30,In Progress
839,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Ranchi,2024-02-05,Pending
840,Bank OTP fraud attempt,IT Fraud,Medium,IT Fraud,Patna,2024-03-10,Pending
841,Dirty water coming from taps,Water,Medium,Water,Chennai,2025-05-15,Resolved
842,Bus service not running on schedule,Transport,Low,Transport,Patna,2024-01-05,Resolved
843,Harassment reported in public place,Police/Safety,Low,Police/Safety,Patna,2024-09-05,Resolved
844,Hospital hygiene very poor,Health,Medium,Health,Ranchi,2025-05-14,Pending
845,Suspicious person roaming in colony,Police/Safety,Medium,Police/Safety,Chennai,2025-07-24,Resolved
846,Fake job website asking money,IT Fraud,High,IT Fraud,Mumbai,2024-09-28,Pending
847,UPI payment fraud reported,IT Fraud,Low,IT Fraud,Chennai,2024-12-13,Resolved
848,Aadhaar update not processed,Government Services,High,Government Services,Hyderabad,2024-04-10,In Progress
849,Ration card application pending,Government Services,High,Government Services,Mumbai,2024-05-25,Pending
850,No water supply for last two days,Water,Medium,Water,Patna,2025-05-26,Pending
851,Hospital hygiene very poor,Health,Medium,Health,Hyderabad,2025-04-11,Resolved
852,Water logging due to bad road condition,Roads,Low,Roads,Delhi,2025-06-27,Pending
853,Garbage not collected for several days,Sanitation,High,Sanitation,Mumbai,2025-02-05,Pending
854,UPI payment fraud reported,IT Fraud,High,IT Fraud,Hyderabad,2025-07-16,In Progress
855,Bank OTP fraud attempt,IT Fraud,Low,IT Fraud,Patna,2024-09-29,Pending
856,Scholarship payment delayed,Education,High,Education,Kolkata,2024-02-12,Pending
857,Bank OTP fraud attempt,IT Fraud,Medium,IT Fraud,Mumbai,2025-04-10,Pending
858,Bank OTP fraud attempt,IT Fraud,Medium,IT Fraud,Chennai,2024-01-19,Pending
859,Bus service not running on schedule,Transport,High,Transport,Delhi,2024-10-05,Resolved
860,Bus stop shelter damaged,Transport,High,Transport,Mumbai,2024-09-14,Resolved
861,Dirty water coming from taps,Water,Medium,Water,Delhi,2024-09-21,Pending
862,Lack of books in school library,Education,Low,Education,Delhi,2024-02-11,Pending
863,Train ticket booking issue,Transport,Low,Transport,Mumbai,2024-03-04,Pending
864,Corruption complaint in local office,Government Services,High,Government Services,Patna,2025-03-19,Pending
865,Broken road near market area,Roads,Medium,Roads,Hyderabad,2025-02-10,Resolved
866,Aadhaar update not processed,Government Services,High,Government Services,Ranchi,2025-01-27,In Progress
867,No water supply for last two days,Water,Medium,Water,Hyderabad,2024-06-13,Pending
868,Scholarship payment delayed,Education,High,Education,Patna,2024-02-15,Pending
869,Overcrowding in buses,Transport,High,Transport,Patna,2024-08-14,Pending
870,Dirty public toilets in market,Sanitation,Low,Sanitation,Hyderabad,2025-02-15,Resolved
871,Overcrowding in buses,Transport,Low,Transport,Ranchi,2025-07-12,Pending
872,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Mumbai,2025-01-21,Pending
873,Overcrowding in buses,Transport,Low,Transport,Ranchi,2025-01-02,Pending
874,Social media account hacked,IT Fraud,Medium,IT Fraud,Hyderabad,2024-01-08,In Progress
875,Road full of potholes causing accidents,Roads,High,Roads,Ranchi,2025-06-03,Pending
876,Drain blockage causing foul smell,Sanitation,Low,Sanitation,Chennai,2025-03-15,In Progress
877,Poor infrastructure in government school,Education,Medium,Education,Hyderabad,2025-02-06,Pending
878,Broken road near market area,Roads,High,Roads,Hyderabad,2024-03-23,In Progress
879,UPI payment fraud reported,IT Fraud,High,IT Fraud,Chennai,2025-01-29,In Progress
880,Street lights not working,Electricity,Medium,Electricity,Kolkata,2025-06-17,In Progress
881,Corruption complaint in local office,Government Services,Medium,Government Services,Kolkata,2025-02-25,Resolved
882,Scholarship payment delayed,Education,Medium,Education,Bangalore,2025-01-10,Pending
883,Overflowing dustbins in the area,Sanitation,Medium,Sanitation,Bangalore,2025-01-11,Resolved
884,Harassment reported in public place,Police/Safety,Medium,Police/Safety,Chennai,2025-02-12,Pending
885,Dirty water coming from taps,Water,Medium,Water,Bangalore,2024-08-24,Pending
886,Frequent power cuts in our area,Electricity,Medium,Electricity,Kolkata,2025-04-02,Resolved
887,Fake loan app scam reported,IT Fraud,High,IT Fraud,Mumbai,2024-08-15,In Progress
888,Transformer failure in locality,Electricity,High,Electricity,Mumbai,2024-04-20,In Progress
889,Low water pressure in the area,Water,High,Water,Patna,2024-06-05,In Progress
890,Shortage of medicines in health center,Health,Medium,Health,Bangalore,2025-02-13,Resolved
891,Bank OTP fraud attempt,IT Fraud,Low,IT Fraud,Patna,2025-07-26,Pending
892,Low water pressure in the area,Water,Medium,Water,Ranchi,2025-05-15,Pending
893,Social media account hacked,IT Fraud,Medium,IT Fraud,Kolkata,2025-04-03,Pending
894,Lack of books in school library,Education,High,Education,Patna,2024-11-29,Pending
895,Overflowing dustbins in the area,Sanitation,High,Sanitation,Delhi,2024-01-11,Resolved
896,UPI payment fraud reported,IT Fraud,High,IT Fraud,Hyderabad,2024-05-04,In Progress
897,Suspicious person roaming in colony,Police/Safety,High,Police/Safety,Mumbai,2025-07-11,In Progress
898,Low water pressure in the area,Water,Medium,Water,Hyderabad,2025-08-22,Pending
899,Theft reported in neighborhood,Police/Safety,High,Police/Safety,Ranchi,2024-11-13,Pending
900,Theft reported in neighborhood,Police/Safety,Medium,Police/Safety,Chennai,2024-10-22,In Progress
901,Electric pole wire hanging dangerously,Electricity,Medium,Electricity,Bangalore,2024-05-28,In Progress
902,Voltage fluctuations damaging appliances,Electricity,High,Electricity,Patna,2024-07-08,Pending
903,Huge pothole near school entrance,Roads,Low,Roads,Ranchi,2024-01-12,Pending
904,Dirty public toilets in market,Sanitation,High,Sanitation,Ranchi,2024-11-21,Resolved
905,Water logging due to bad road condition,Roads,Low,Roads,Delhi,2025-04-16,Resolved
906,Theft reported in neighborhood,Police/Safety,High,Police/Safety,Delhi,2025-03-19,Pending
907,Bus stop shelter damaged,Transport,Medium,Transport,Hyderabad,2025-05-22,In Progress
908,Noise disturbance at night,Police/Safety,High,Police/Safety,Ranchi,2025-02-19,Resolved
909,Transformer failure in locality,Electricity,High,Electricity,Kolkata,2025-08-22,Resolved
910,Overcrowding in buses,Transport,Medium,Transport,Hyderabad,2024-01-14,Pending
911,Poor cleanliness in buses,Transport,High,Transport,Bangalore,2024-08-22,In Progress
912,Delay in issuing birth certificate,Government Services,Medium,Government Services,Kolkata,2025-07-01,Pending
913,Electric pole wire hanging dangerously,Electricity,Low,Electricity,Ranchi,2025-03-25,Pending
914,Theft reported in neighborhood,Police/Safety,Medium,Police/Safety,Ranchi,2024-06-06,Pending
915,Fake job website asking money,IT Fraud,Medium,IT Fraud,Delhi,2024-07-17,Pending
916,Lack of books in school library,Education,Medium,Education,Ranchi,2024-11-04,In Progress
917,Frequent power cuts in our area,Electricity,High,Electricity,Mumbai,2024-07-26,Resolved
918,Road full of potholes causing accidents,Roads,Low,Roads,Chennai,2024-12-03,In Progress
919,Teacher not attending classes regularly,Education,Medium,Education,Delhi,2024-10-05,Pending
920,Water logging due to bad road condition,Roads,Medium,Roads,Chennai,2024-08-07,Resolved
921,Corruption complaint in local office,Government Services,High,Government Services,Bangalore,2025-04-15,Resolved
922,Water logging due to bad road condition,Roads,Medium,Roads,Bangalore,2024-11-13,In Progress
923,Broken road near market area,Roads,Medium,Roads,Ranchi,2025-06-04,In Progress
924,Pension not credited this month,Government Services,Medium,Government Services,Delhi,2025-04-28,Pending
925,Theft reported in neighborhood,Police/Safety,High,Police/Safety,Delhi,2024-12-22,Pending
926,Poor cleanliness in buses,Transport,High,Transport,Ranchi,2024-09-08,Resolved
927,Ambulance service delayed during emergency,Health,Medium,Health,Bangalore,2025-07-14,In Progress
928,Suspicious person roaming in colony,Police/Safety,Medium,Police/Safety,Chennai,2024-10-28,Pending
929,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Chennai,2025-02-20,Pending
930,Water pipeline leakage near house,Water,Low,Water,Ranchi,2024-11-27,In Progress
931,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Hyderabad,2024-11-02,Pending
932,Dirty water coming from taps,Water,Medium,Water,Ranchi,2025-01-23,Resolved
933,Ambulance service delayed during emergency,Health,Low,Health,Kolkata,2025-06-28,Resolved
934,UPI payment fraud reported,IT Fraud,Medium,IT Fraud,Kolkata,2025-07-11,Pending
935,Dirty water coming from taps,Water,Medium,Water,Bangalore,2025-02-22,Pending
936,Train ticket booking issue,Transport,Medium,Transport,Kolkata,2025-05-25,In Progress
937,Poor infrastructure in government school,Education,Medium,Education,Ranchi,2025-08-05,In Progress
938,Train ticket booking issue,Transport,Medium,Transport,Patna,2024-10-15,Pending
939,Noise disturbance at night,Police/Safety,Low,Police/Safety,Ranchi,2025-07-25,Pending
940,Theft reported in neighborhood,Police/Safety,Low,Police/Safety,Delhi,2024-06-21,Resolved
941,Shortage of medicines in health center,Health,Low,Health,Patna,2024-01-27,Pending
942,Overcrowding in buses,Transport,High,Transport,Hyderabad,2024-04-17,Pending
943,Shortage of medicines in health center,Health,Medium,Health,Bangalore,2025-06-24,Resolved
944,Garbage not collected for several days,Sanitation,Low,Sanitation,Mumbai,2024-04-07,Pending
945,Poor cleanliness in buses,Transport,Medium,Transport,Patna,2024-04-15,In Progress
946,No doctor available in government hospital,Health,High,Health,Patna,2024-07-07,Pending
947,Huge pothole near school entrance,Roads,Low,Roads,Chennai,2024-06-01,Resolved
948,Delay in issuing birth certificate,Government Services,Low,Government Services,Ranchi,2024-12-25,Pending
949,Bus service not running on schedule,Transport,Low,Transport,Mumbai,2025-06-18,Pending
950,Frequent power cuts in our area,Electricity,Low,Electricity,Mumbai,2025-02-11,In Progress
951,UPI payment fraud reported,IT Fraud,Medium,IT Fraud,Delhi,2024-04-02,Resolved
952,Suspicious person roaming in colony,Police/Safety,Medium,Police/Safety,Bangalore,2024-05-31,Pending
953,Ration card application pending,Government Services,Medium,Government Services,Mumbai,2025-05-24,Pending
954,Bus stop shelter damaged,Transport,High,Transport,Mumbai,2025-01-31,In Progress
955,Ration card application pending,Government Services,Medium,Government Services,Kolkata,2025-04-30,Pending
956,Shortage of medicines in health center,Health,High,Health,Bangalore,2024-11-14,Pending
957,Teacher not attending classes regularly,Education,Low,Education,Bangalore,2024-02-24,In Progress
958,Bus stop shelter damaged,Transport,High,Transport,Ranchi,2024-07-13,Resolved
959,No drinking water in school campus,Education,Medium,Education,Bangalore,2024-05-05,In Progress
960,Frequent power cuts in our area,Electricity,High,Electricity,Hyderabad,2024-08-18,Resolved
961,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Mumbai,2025-07-19,Resolved
962,Suspicious person roaming in colony,Police/Safety,High,Police/Safety,Ranchi,2024-07-18,Resolved
963,Suspicious person roaming in colony,Police/Safety,Medium,Police/Safety,Kolkata,2025-01-07,In Progress
964,Street lights not working,Electricity,Medium,Electricity,Mumbai,2025-01-09,In Progress
965,Transformer failure in locality,Electricity,High,Electricity,Bangalore,2025-06-24,Pending
966,Lack of books in school library,Education,High,Education,Bangalore,2024-04-18,In Progress
967,Fake loan app scam reported,IT Fraud,Low,IT Fraud,Delhi,2024-04-26,Resolved
968,Road full of potholes causing accidents,Roads,Medium,Roads,Patna,2025-01-12,Pending
969,Illegal activities happening nearby,Police/Safety,High,Police/Safety,Hyderabad,2024-10-01,In Progress
970,Broken road near market area,Roads,High,Roads,Mumbai,2025-02-19,In Progress
971,Overflowing dustbins in the area,Sanitation,High,Sanitation,Bangalore,2024-01-05,In Progress
972,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Mumbai,2025-08-17,Resolved
973,Illegal activities happening nearby,Police/Safety,Low,Police/Safety,Delhi,2025-05-02,In Progress
974,Road construction incomplete for months,Roads,Medium,Roads,Hyderabad,2024-12-03,Resolved
975,UPI payment fraud reported,IT Fraud,Low,IT Fraud,Hyderabad,2025-06-05,Pending
976,Drain blockage causing foul smell,Sanitation,High,Sanitation,Ranchi,2025-03-28,Resolved
977,Public hand pump not working,Water,Medium,Water,Mumbai,2025-05-28,Resolved
978,Shortage of medicines in health center,Health,Low,Health,Patna,2024-11-03,In Progress
979,Drain blockage causing foul smell,Sanitation,Low,Sanitation,Ranchi,2024-10-17,Pending
980,Low water pressure in the area,Water,High,Water,Ranchi,2024-06-18,Pending
981,Train ticket booking issue,Transport,Medium,Transport,Bangalore,2024-07-23,In Progress
982,No doctor available in government hospital,Health,Medium,Health,Chennai,2025-06-17,Pending
983,Lack of books in school library,Education,Medium,Education,Kolkata,2024-05-22,In Progress
984,Water logging due to bad road condition,Roads,High,Roads,Chennai,2024-12-06,Resolved
985,Street lights not working,Electricity,High,Electricity,Ranchi,2024-10-05,Pending
986,Hospital hygiene very poor,Health,Medium,Health,Kolkata,2025-05-16,Resolved
987,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Hyderabad,2025-05-14,Pending
988,No drinking water in school campus,Education,Medium,Education,Kolkata,2025-03-09,Pending
989,Aadhaar update not processed,Government Services,Low,Government Services,Bangalore,2024-11-26,Pending
